Gene,Log2FC,PVal
PGPEP1,-2.645725600961003,1.1685165762712792e-08
IQCN,-2.665034360554885,0.0053502345584709
ARRDC2,-1.9191236054817424,0.0002383955364871
B3GNT3,-1.7166635494023643,0.0056742295325362
BST2,-7.425316492072431,6.01262290627156e-07
TMEM38A,-2.6492353670014,0.0056575689258736
KLF2,-2.0830429001178405,0.0278718509253507
HSH2D,-6.280167667207217,0.0095930648459108
UCA1,-11.487773459114788,1.941446478033638e-06
ITGB1P1,-2.968197981349872,0.0385080009037807
PKN1,-3.747837380718415,8.991385316949291e-14
ZSWIM4,-2.1092316984032964,0.0001126668382498
CCDC130,-2.4096764134169617,8.121091704008656e-09
TRMT1,-1.749910805674508,8.570320385563246e-06
MAST1,-1.8204585616852575,0.0359092689239099
ZNF442,-2.3078743360554577,0.0080614737563464
ZNF136,-2.734743920199505,0.0007320265668401
HNRNPA1P10,-2.434825385318015,0.0059703044727344
ZNF627,-1.5044853458173253,0.007463125094757
PLPPR2,-2.224299786696436,0.0003341222468981
CDKN2D,-3.040827376161324,1.4719561334098975e-05
ATG4D,-1.7475194020434797,1.1124533987375596e-07
ICAM5,-5.071711893564455,5.197720580242952e-06
ICAM1,-5.542614501405336,3.8767080805861255e-08
S1PR2,-2.5953884155208717,0.0002773719625235
P2RY11,-6.495101936287176,0.0425066337950072
PPAN,-2.762929850340094,2.1404745469302627e-06
OLFM2,-2.439069174837889,0.0265796284215878
ZNF812P,-6.495285957641246,1.2794533688933553e-05
ZNF121,-2.0238106350476337,3.051471917402352e-10
ZNF426,-2.2083368102047936,1.8660182943409386e-07
ZNF266,-3.81282838565764,8.460637856872514e-18
ZNF559,-3.281924550112135,3.970420461056395e-05
ZNF699,-1.623678772008857,0.0235855798986991
ZNF317,-1.601889003850289,5.838335710456123e-08
MUC16,-4.46905530431876,2.0237825548523182e-14
MYO1F,-2.592853310837306,0.0003920478648599
TGFBR3L,-3.090553382434452,0.0490746882165053
INSR,-2.4099906384991847,4.526099610399247e-06
VAV1,-2.29198829113566,0.0035072857222119
C3,-9.037838917384276,1.2713770913718917e-08
FUT3,-2.0431026056581274,0.0167718177211114
HSD11B1L,-2.248444843789018,0.0077997468339873
LRG1,-5.223850937703576,0.0013046847594816
TJP3,-5.9864954229218,0.0166267662273751
ZNF554,-5.1575606095975575,0.0314414341074459
AMH,-2.3978574187609136,0.0025659917984096
PCSK4,-1.9308261795917452,0.0061824715861218
ARHGAP45,-2.343014040140595,1.0198371025316838e-05
PLPP2,-4.505507342601097,6.378235706370787e-05
SERPINB3,-6.0634534188510605,0.0003417398568485
SERPINB4,-7.783282198493347,0.0016315235869975
BCL2,-1.930388840128051,0.0138400586769695
CCDC68,-4.500765003561506,0.0001256972347103
PSTPIP2,-1.709797122122091,3.288562470154603e-05
EPG5,-1.6369407757931886,8.36980678446838e-06
MOCOS,-1.5033796570804172,4.718236119678112e-05
