Gene,Log2FC,PVal
TMC8,-2.5737276970356437,0.0113602831942352
TMC6,-2.1675209838966523,1.6169283269991915e-10
MGAT5B,-2.1247580451119266,0.0013010414922063
UNC13D,-3.5307020543114778,4.705617709371264e-22
MIF4GD,-2.647060037975395,8.131040827215268e-05
HID1,-7.186482316293576,0.0034495233556409
SLC39A11,-2.235401749993561,1.54427651272615e-05
LINC00511,-8.108381044910773,0.0034431767411993
ABCA5,-1.6885686718775677,7.044360155498996e-05
ABCA10,-2.3965283133124684,0.0045315890637794
FAM20A,-2.760463051458454,0.0018545123062679
RGS9,-4.080616188128615,0.0183833439479778
TBX2,-7.1011934353724655,0.0032682843316597
BCAS3,-1.5883316125792504,0.0001514152290852
YPEL2,-2.0781440108883578,0.0125469662744351
SCPEP1,-1.7742948943948476,0.0003252817858832
B4GALNT2,-5.671712265001141,0.0001234531774446
IGF2BP1,-7.217043604357516,0.0026985853632338
HOXB9,-7.183204617954112,0.0028658911239009
HOXB8,-4.942145320927575,0.0479706309691044
HOXB7,-5.42664868198922,0.0245478983020524
HOXB6,-6.324531457143356,0.0089484895832601
HOXB3,-6.789222783780729,0.0046810634981192
HOXB2,-6.6545855749652825,0.0059225710420469
MRPL45P2,-1.9458292094423308,0.0473149177569177
RPS7P11,-1.6179965135401189,0.0325383665416957
LRRC37A4P,-3.3236490747463394,1.3232056471080063e-05
FMNL1,-3.181220221855961,5.509442720161694e-07
ACBD4,-2.336223189988939,0.0005837041263431
ADAM11,-3.2634452206990963,0.0311586711842963
LINC00910,-3.067485439193256,0.007879822686339
NBR2,-1.7521730747147288,0.0060202744658828
VAT1,-1.6626549300495623,0.0002824986836869
IFI35,-1.6582209376690369,0.0014160817072992
WNK4,-2.15368217292376,4.612114693505639e-05
HSD17B1,-3.56414866453685,0.0199417632029074
HSD17B1P1,-4.10303677487378,0.0102580370636977
STAT5A,-2.256939492156352,0.00231353567446
IGFBP4,-1.608291728162874,0.0148982217826047
GSDMB,-2.8597023985186474,1.1270079203758735e-06
GRB7,-2.2403561580791798,1.97290277667438e-08
LHX1,-2.9205117653086115,0.0048056273264841
LHX1-DT,-3.9824609183859354,0.0117512179531971
RFFL,-1.980989043980343,9.419557041544208e-05
SH3GL1P1,-1.636442288654586,0.0435557181667092
CORO6,-2.3368653083453617,1.7560608526632893e-08
PROCA1,-1.878819153588682,0.0071748851181537
NATD1,-1.980170003161953,0.0002712178825122
USP32P3,-4.115222253733471,7.94486777141331e-07
CCDC144CP,-4.875055519716794,4.2385874599729917e-07
RNF112,-3.5990278253371275,0.0168944133326462
SNORD3C,-4.458717895281568,0.00242944751997
SNORD3B-1,-4.544245702229128,0.0070815068548154
CCDC144B,-2.5858961435345846,2.849221897393673e-06
USP32P2,-4.269269129902374,0.0323271514711496
RASD1,-6.098464296827098,0.0137580941199881
MED9,-1.5107956610980549,0.0159642804138856
NT5M,-5.023418812737395,0.0378995804027845
CENPV,-2.560641038866217,9.90084329637392e-10
PPIAP53,-2.3222920394636826,0.0292394780668274
TVP23C,-1.6099407199056317,0.0001654328333625
CDRT4,-3.587111069640233,0.0242849678286181
HS3ST3A1,-5.459603508994992,0.0293101337772336
KRBA2,-2.1591859939750093,0.0284563366812981
ALOXE3,-1.7793728847859656,0.0154093567479381
DNAH2,-2.2534477619958144,0.0387607717774024
SAT2,-1.746727585917358,0.0003031709619558
EIF4A1,-7.457495034072877,0.0251442982008024
SENP3,-5.208875285126711,0.0045748819202943
TMEM256,-2.9288355496867107,0.0002079940343748
CLDN7,-4.0305397094135,6.954223144146565e-19
ALOX12-AS1,-3.8495674145843153,0.0224749762321694
